Unit No,Serial Number,Date Received,,CONTROL ROOM PC,,
1,64167F927CA7,"30th August, 2022",,Description,Units,Active/Ups
2,64167F92642C,"30th August, 2022",,,,
3,64167F92AB26,"30th August, 2022",,HP CPU,20,10
4,64167F92A625,"30th August, 2022",,HP COMPAQ MONITOR,40,10
5,64167F92A5F9,"30th August, 2022",,,,
6,64167F92681B,"30th August, 2022",,,,
7,64167F92B675,"30th August, 2022",,,,
8,64167F92699B,"30th August, 2022",,,,
9,64167F9218C1,"30th August, 2022",,,,
10,64167F92A7E5,"30th August, 2022",,,,
11,64167FA36EBB,"30th August, 2022",,,,
12,64167FA36D93,"30th August, 2022",,,,
13,64167FA36E8B,"30th August, 2022",,,,
14,64167FA35CA6,"30th August, 2022",,,,
15,64167FA36EF5,"30th August, 2022",,,,
16,64167FA36EE8,"30th August, 2022",,,,
17,64167FA36EB1,"30th August, 2022",,,,
18,64167FA358C5,"30th August, 2022",,,,
19,64167FA35C9C,"30th August, 2022",,,,
20,64167FA359B3,"30th August, 2022",,,,
21,64167FA357A7,"30th August, 2022",,,,
22,64167FA35C92,"30th August, 2022",,,,
23,64167FA34359,"30th August, 2022",,,,
24,64167FA357B1,"30th August, 2022",,,,
25,64167FA35C98,"30th August, 2022",,,,
26,64167FA2EF71,"30th August, 2022",,,,
27,64167FA357A3,"30th August, 2022",,,,
28,64167FA35984,"30th August, 2022",,,,
29,64167FA3580D,"30th August, 2022",,,,
30,64167FA35A24,"30th August, 2022",,,,
31,64167F92A5F9,"30th August, 2022",,,,
32,64167F92681B,"30th August, 2022",,,,
33,64167F92B675,"30th August, 2022",,,,
34,64167F92699B,"30th August, 2022",,,,
35,64167F9218C1,"30th August, 2022",,,,
36,64167F92A7E5,"30th August, 2022",,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,OLD ALL IN PC ,NEW ALL IN ONE PC,,,,
,(6GB RAM I DUAL 1.60GHz),(8GB  RAM I 2.0GHz),,,,
LASAMBUS,,2,,,,
RRS,1,,,,,
FIRE S,1,,,,, 
LASTMA,1,,,,,
LNCS,1,,,,,
LASEMA,,1,,,,
PC,1,,,,,
CONFERENCE ROOM,7,9,,,,
COMMON ROOM,10,5,,,,
FRONT OFFICE,,1,,,,
QA,2,6,,,,
RECEPTION,,1,,,,
NMC,1,1,,,,
TOTAL,25,26,,51 ALL IN ONE PC,,
FAULTY PC,17,10,,27 FAULTY ALL IN ONE PC,,